Žodis                   Pasikartojimų sk.       Eilutės numeris
____________________________________________________________
12                       2                        19 20 
3                        6                        17 19 24 28 39 45 
4                        3                        22 23 34 
5                        8                        2 9 23 26 36 39 76 136 
6                        2                        24 33 
9                        2                        29 30 
abiejų                  2                        55 121 
aloyzo                   2                        55 121 
altorių                 2                        49 123 
anas                     2                        107 108 
ant                      4                        55 92 116 117 
antrą                   2                        22 45 
apie                     3                        5 96 123 
ar                       5                        147 160 161 164 167 
arba                     3                        37 116 158 
atrodė                  3                        88 149 154 
atsimindavo              3                        126 127 132 
baisu                    2                        61 104 
balsas                   2                        41 42 
banga                    2                        53 95 
bažnyčia               2                        35 88 
bažnyčios              2                        81 131 
be                       3                        35 89 116 
bent                     2                        88 151 
bet                      20                       3 6 40 52 60 73 74 77 79 83 86 103 117 130 148 149 173 176 181 183 
buvo                     42                       2 7 32 32 45 47 48 51 53 56 68 72 76 80 85 86 87 89 90 94 95 95 96 98 107 115 120 123 134 137 139 141 142 155 165 166 168 171 175 177 178 179 
būdavo                  9                        21 22 29 38 42 57 57 59 173 
būtų                   3                        61 150 179 
dabar                    3                        115 133 139 
dar                      18                       3 6 10 14 19 28 31 36 40 42 85 87 89 89 106 111 148 154 
darbo                    3                        31 162 182 
darbui                   3                        23 24 30 
daug                     6                        71 75 104 112 123 123 
daugelio                 3                        71 111 125 
daugeliui                2                        63 183 
daugiau                  4                        68 83 151 183 
dažnai                  2                        26 60 
degė                    2                        119 123 
devyni                   2                        1 17 
didelių                 3                        61 62 94 
dienomis                 3                        17 33 43 
dienos                   6                        31 38 50 55 57 137 
dieną                   3                        37 52 132 
dienų                   2                        9 136 
dievo                    4                        36 82 121 130 
dirbti                   2                        95 95 
drabužiais              2                        11 155 
draugai                  2                        10 96 
draugas                  3                        81 84 143 
drauge                   2                        13 46 
draugo                   2                        90 91 
du                       4                        58 80 85 85 
duodavo                  3                        24 37 162 
dvasios                  7                        29 30 38 49 62 69 134 
dvi                      2                        145 153 
dviejų                  2                        48 61 
dėl                     6                        44 67 82 131 150 180 
eidavo                   4                        20 31 34 37 
elgesio                  3                        25 91 166 
esą                     3                        85 103 140 
esąs                    2                        2 44 
galima                   2                        71 179 
galutinai                2                        14 73 
galvos                   3                        9 71 172 
galą                    2                        20 31 
